month,program,program_label,reach,impressions,engagement,engagement_rate,posts_count,top_post_metric
2026-01,global_immunization,Global Immunization,11347,11347,379,0.03340089891601304,27,"{'platform': 'linkedin', 'post_url': 'https://www.linkedin.com/feed/update/urn:li:ugcPost:7416498146572320768', 'post_message': 'In our January newsletter, dive into our #Marburg outbreak response support in #Ethiopia, #CervicalCancer elimination efforts, our work with hexavalent vaccine adoption, and more.', 'reach': 1674, 'impressions': 1674, 'visibility': 1674, 'engagements': 145, 'engagement_rate': 0.08661887694145759, 'clicks': 40, 'website_resource_clicks': 0, 'engagement_actions': 145, 'engagement_actions_rate': 0.08661887694145759}"
2026-01,rd,Rd,2218,2218,59,0.02660054102795311,5,"{'platform': 'facebook', 'post_url': 'https://www.facebook.com/368989981928740/posts/1300421578785571', 'post_message': '""Unlike COVID-19, there is no commercial market for a Marburg vaccine. Demand is limited to outbreak response, health workers, and emergency stockpiles. Progress depends almost entirely on public sector and philanthropic investment. Sabin’s role is to ensure that lack of commercial viability does not translate into lack of protection.""  Sabin Vaccine Institute CEO Amy Finan reflects on a defining moment in 2025 — when #Ethiopia\'s Ministry of Health reached out for support as the country faced its first-ever outbreak of #Marburg virus disease.   Having responded to a Marburg outbreak in Rwanda the year before, the Sabin team moved quickly — building on established partnerships and lessons learned to support the national response, while generating evidence to support the development of our investigational cAd3-Marburg vaccine.  Read more ⤵️ https://www.sabin.org/resources/2025-spotlight-reflections-on-outbreak-response-and-generating-meaningful-data/   #OutbreakResponse', 'reach': 96, 'impressions': 96, 'visibility': 96, 'engagements': 4, 'engagement_rate': 0.041666666666666664, 'clicks': 0, 'website_resource_clicks': 0, 'engagement_actions': 4, 'engagement_actions_rate': 0.041666666666666664}"
2026-02,global_immunization,Global Immunization,52377,52377,261,0.004983103270519503,11,"{'platform': 'linkedin', 'post_url': 'https://www.linkedin.com/feed/update/urn:li:ugcPost:7429964596763062272', 'post_message': 'In this Spotlight edition of the Sabin Vaccine Wire, we reflect on Sabin’s 2025 outbreak response and the evolving global immunization landscape.\xa0 \xa0\xa0 When Ethiopia faced its first-ever Marburg outbreak,\xa0the country\xa0requested swift\xa0assistance\xa0—\xa0and we were able\xa0to\xa0leverage\xa0prior experience and existing partnerships to\xa0deliver our vaccine candidate\xa0as quickly as possible.\xa0We also spent the year\xa0thoughtfully\xa0recalibrating our\xa0global immunization strategy,\xa0staying focused on evidence, equity, and country leadership amid\xa0public health\xa0disruption.\xa0 \xa0\xa0 Read reflections from CEO Amy Finan, President of R&D Kelly Lyn Warfield, and President of Global Immunization Rebecca Martin.', 'reach': 0, 'impressions': 0, 'visibility': 0, 'engagements': 131, 'engagement_rate': 0, 'clicks': 0, 'website_resource_clicks': 0, 'engagement_actions': 131, 'engagement_actions_rate': 0}"
2026-02,rd,Rd,0,0,88,0.0,1,"{'platform': 'linkedin', 'post_url': 'https://www.linkedin.com/feed/update/urn:li:ugcPost:7424451764034129920', 'post_message': ""✈️ Developing vaccines is a huge lift. Then getting the vaccines to a clinical trial or outbreak setting quickly, safely, and efficiently is its own complex task.   Hear Noel Decker, MS, PMP, VP of Program & Portfolio Management on Sabin's R&D team, break down some of the challenges ⤵️"", 'reach': 0, 'impressions': 0, 'visibility': 0, 'engagements': 88, 'engagement_rate': 0, 'clicks': 0, 'website_resource_clicks': 0, 'engagement_actions': 88, 'engagement_actions_rate': 0}"
2026-03,global_immunization,Global Immunization,5065,5065,238,0.04698914116485686,17,"{'platform': 'facebook', 'post_url': 'https://www.facebook.com/368989981928740/posts/1347472470747148', 'post_message': '""There\'s a vaccine that’s proven very effective at prevention. There is also new advice that actually we can vaccinate girls once and that will offer lifelong protection.""  On #InternationalHPVAwarenessDay,  the global effort to #PreventHPV is more active than ever.  Hear from global leaders about efforts to protect against HPV and prevent #CervicalCancer in this ""Supporting Women, Ending HPV"" playlist of Sabin\'s Getting to Zero interview series.  🎥: https://ow.ly/3jSL50YoKPN', 'reach': 88, 'impressions': 88, 'visibility': 88, 'engagements': 5, 'engagement_rate': 0.056818181818181816, 'clicks': 1, 'website_resource_clicks': 11, 'engagement_actions': 16, 'engagement_actions_rate': 0.18181818181818182}"
2026-03,rd,Rd,856,856,356,0.4158878504672897,6,"{'platform': 'facebook', 'post_url': 'https://www.facebook.com/368989981928740/posts/1352013660293029', 'post_message': 'The Sabin Vaccine Institute announced it has completed enrollment in all six Phase 2 clinical trials for its cAd3-Marburg Vaccine and its cAd3-Sudan Ebolavirus Vaccine candidates.  There are no licensed vaccines for protection against disease caused by Marburg virus or the Sudan virus strain of Ebola. Both are highly contagious hemorrhagic fever diseases that can have a high fatality rate of up to 88%.    Phase 2 clinical trials to evaluate the safety and immunogenicity of the two monovalent vaccines, both on the cAd3 platform, began in healthy volunteers in Africa in 2023 and in the United States in 2025. The African trials, with sites in Kenya and Uganda, completed participant follow-up last year and reporting activities are progressing. The U.S. trials completed enrollment last month.  In addition, Sabin’s cAd3-Marburg Vaccine has been used in Phase 2 rapid response outbreak clinical trials in Africa — more than 1,700 participants enrolled in 2024 during an outbreak in Rwanda, and more than 500 participants enrolled beginning last December for Ethiopia’s first-ever Marburg outbreak.   Learn more ⤵️  https://ow.ly/K19e50YrNbg', 'reach': 84, 'impressions': 84, 'visibility': 84, 'engagements': 4, 'engagement_rate': 0.047619047619047616, 'clicks': 0, 'website_resource_clicks': 5, 'engagement_actions': 9, 'engagement_actions_rate': 0.10714285714285714}"
2026-04,global_immunization,Global Immunization,26582,26582,1265,0.047588593785268224,34,"{'platform': 'linkedin', 'post_url': 'https://www.linkedin.com/feed/update/urn:li:ugcPost:7453499207795007490', 'post_message': 'They toil for years, chasing the tantalizing promise of preventing devastating disease. They often have small budgets and little recognition. Yet when they strike gold, the entire world benefits.  Vaccinologists — some of the unsung heroes of global public health – work behind the scenes in laboratories around the world seeking to end suffering and death.   For one night, they are in the spotlight.  Read about the Sabin Awards, a prestigious honor which for the past 30 years has recognized those who spent their lives saving millions of others.   And see how to join us at this year’s celebration on May 12 via livestream.', 'reach': 1983, 'impressions': 1983, 'visibility': 1983, 'engagements': 494, 'engagement_rate': 0.2491174987392839, 'clicks': 33, 'website_resource_clicks': 0, 'engagement_actions': 494, 'engagement_actions_rate': 0.2491174987392839}"
2026-04,rd,Rd,7849,7849,184,0.023442476748630398,8,"{'platform': 'instagram', 'post_url': 'https://www.instagram.com/p/DW1_uHaD3ej/', 'post_message': ""You hear it a lot — no invention has had a larger impact on human health than #vaccines.  They have saved an estimated 154 million lives over the past 50 years. That's a rate of six lives every minute.  For #WorldHealthDay this year, with the theme of #StandWithScience, we're sharing some of the science that makes vaccines effective and safe."", 'reach': 163, 'impressions': 163, 'visibility': 163, 'engagements': 21, 'engagement_rate': 0.12883435582822086, 'clicks': 0, 'website_resource_clicks': 0, 'engagement_actions': 21, 'engagement_actions_rate': 0.12883435582822086}"
2026-05,global_immunization,Global Immunization,36986,36986,2905,0.07854323257448764,42,"{'platform': 'linkedin', 'post_url': 'https://www.linkedin.com/feed/update/urn:li:ugcPost:7457159767636078592', 'post_message': 'Antimicrobial resistance (AMR) is a growing health threat worldwide. 🦠  AMR happens when bacteria and viruses encounter antibiotics and evolve to develop a resistance to them, thus no longer responding to the medicines designed to kill them. Infections become harder to treat, increasing the risk of disease spread, severe illness, and death.  #VaccinesWork to prevent AMR by preventing disease and therefore preventing antibiotic use, lowering the chances for resistant bacteria to develop and spread.   Learn more ⤵️ https://ow.ly/FLK250YUK39', 'reach': 1137, 'impressions': 1137, 'visibility': 1137, 'engagements': 400, 'engagement_rate': 0.3518029903254178, 'clicks': 367, 'website_resource_clicks': 24, 'engagement_actions': 400, 'engagement_actions_rate': 0.3518029903254178}"
2026-05,rd,Rd,6059,6059,436,0.07195906915332563,6,"{'platform': 'linkedin', 'post_url': 'https://www.linkedin.com/feed/update/urn:li:share:7465123406460436480', 'post_message': 'This month, Sabin President of Research & Development Kelly Lyn Warfield and CEO Amy Finan traveled to Addis Ababa to meet with officials from the Ethiopia Ministry of Health, Armauer Hansen Research Institute, CEPI (Coalition for Epidemic Preparedness Innovations), IQVIA, U.S. Centers for Disease Control and Prevention, and other partners.  The conversations focused on lessons learned from the 2025 Marburg outbreak response, which included Sabin’s cAd3-Marburg Vaccine in a Phase 2 clinical trial. From supply chains and infrastructure to community engagement, data management and health workforce training, the visit offered valuable insights into what it takes to move quickly, collaboratively, and effectively during an outbreak response.', 'reach': 3086, 'impressions': 3086, 'visibility': 3086, 'engagements': 338, 'engagement_rate': 0.10952689565780946, 'clicks': 248, 'website_resource_clicks': 0, 'engagement_actions': 338, 'engagement_actions_rate': 0.10952689565780946}"
